"customer_id","gender","most_common_region","age","age_band","total_orders","lifetime_spend","avg_order_value","first_order_date","last_order_date","customer_tenure_days","return_count","has_return_flag"
"CUST0279","Female","West",59,"56-65","4","4180.00","1045.00","2023-02-15","2023-11-24",282,"3",True
"CUST0280","Female","East",44,"36-45","3","1050.00","350.00","2023-03-03","2023-06-12",101,"0",False
"CUST0281","Female","West",44,"36-45","8","17850.00","2231.25","2023-01-01","2023-11-27",330,"2",True
"CUST0282","Male","North",68,"66+","4","10600.00","2650.00","2023-02-12","2023-11-29",290,"1",True
"CUST0283","Female","East",67,"66+","4","5840.00","1460.00","2023-05-03","2023-11-08",189,"0",False
"CUST0284","Female","South",64,"56-65","5","2550.00","510.00","2023-04-11","2023-08-01",112,"1",True
"CUST0285","Female","South",58,"56-65","3","3700.00","1233.33","2023-01-14","2023-06-03",140,"0",False
"CUST0286","Female","North",63,"56-65","2","1600.00","800.00","2023-03-08","2023-03-21",13,"1",True
"CUST0287","Female","South",60,"56-65","1","3200.00","3200.00","2023-06-29","2023-06-29",0,"1",True
"CUST0288","Female","North",55,"46-55","5","9750.00","1950.00","2023-01-25","2023-07-04",160,"3",True
"CUST0289","Female","East",37,"36-45","3","8620.00","2873.33","2023-07-06","2024-01-03",181,"2",True
"CUST0290","Female","Unknown",37,"36-45","3","1600.00","533.33","2023-04-20","2023-09-30",163,"2",True
"CUST0291","Female","South",49,"46-55","4","2630.00","657.50","2023-03-18","2023-05-29",72,"0",False
"CUST0292","Male","South",21,"18-25","1","120.00","120.00","2023-05-24","2023-05-24",0,"0",False
"CUST0293","Female","East",32,"26-35","5","14200.00","2840.00","2023-03-27","2023-11-17",235,"2",True
"CUST0294","Female","East",49,"46-55","1","150.00","150.00","2023-09-11","2023-09-11",0,"0",False
"CUST0295","Female","West",26,"26-35","4","8830.00","2207.50","2023-05-27","2023-12-31",218,"1",True
"CUST0296","Female","South",50,"46-55","6","7130.00","1188.33","2023-07-25","2024-01-03",162,"3",True
"CUST0297","Male","East",61,"56-65","2","1200.00","600.00","2023-04-25","2023-10-10",168,"1",True
"CUST0298","Female","South",58,"56-65","4","5420.00","1355.00","2023-04-04","2023-11-11",221,"2",True
"CUST0299","Female","West",58,"56-65","7","10060.00","1437.14","2023-01-03","2024-01-03",365,"5",True
"CUST0300","Female","East",66,"66+","2","890.00","445.00","2023-01-17","2023-10-15",271,"1",True
